Latitude,Longitude,Shop
45.394126,-75.605262,Tim Hortons
45.42157846,-75.69635174,Tim Hortons
45.44042508,-75.62647251,Tim Hortons
45.36062943,-75.63068392,Tim Hortons
45.448597,-75.71182,Tim Hortons
45.37752652,-75.64516486,Tim Hortons
45.390682,-75.679615,Tim Hortons
45.53118255,-75.49575599,Tim Hortons
45.48127865,-75.70210089,Tim Hortons
45.42047611,-75.69431504,Tim Hortons
45.37818119,-75.66699387,Tim Hortons
45.3594273,-75.6585546,Tim Hortons
45.4527094,-75.73859334,Tim Hortons
45.473896,-75.705195,Tim Hortons
45.40201935,-75.64610594,Tim Hortons
45.38166918,-75.60271057,Tim Hortons
45.42139034,-75.70078187,Tim Hortons
45.3187247,-75.5935744,Tim Hortons
45.386112,-75.693371,Tim Hortons
45.42113718,-75.69609374,Tim Hortons
45.37041449,-75.68799813,Tim Hortons
45.43225642,-75.68903832,Tim Hortons
45.361888,-75.73797584,Tim Hortons
45.34279529,-75.66996574,Tim Hortons
45.392513,-75.722223,Tim Hortons
45.41793837,-75.69844851,Tim Hortons
45.36624266,-75.73187113,Tim Hortons
45.38543011,-75.6772935,Tim Hortons
45.329513,-75.721895,Tim Hortons
45.308459,-75.693741,Tim Hortons
45.32235574,-75.66736937,Tim Hortons
45.33480131,-75.75181978,Tim Hortons
45.41613363,-75.69692951,Tim Hortons
45.34229313,-75.78615737,Tim Hortons
45.39977752,-75.70570399,Tim Hortons
45.41897845,-75.70431429,Tim Hortons
45.425896,-75.69181825,Tim Hortons
45.37059391,-75.73282598,Tim Hortons
45.38223297,-75.70945446,Tim Hortons
45.36927921,-75.70233864,Tim Hortons
45.418888,-75.698342,Tim Hortons
45.38623069,-75.80527393,Tim Hortons
45.41863579,-75.70121707,Tim Hortons
45.44940896,-75.75462722,Tim Hortons
45.35556438,-75.80281556,Tim Hortons
44.25479714,-76.53480429,Tim Hortons
44.26852821,-76.52035475,Tim Hortons
44.24778904,-76.55271292,Tim Hortons
44.25970785,-76.50642872,Tim Hortons
44.25852481,-76.54420285,Tim Hortons
44.23870423,-76.5055275,Tim Hortons
44.26496335,-76.49926186,Tim Hortons
44.23785101,-76.55097485,Tim Hortons
44.24956662,-76.57001257,Tim Hortons
44.220559,-76.520201,Tim Hortons
44.22303363,-76.52804022,Tim Hortons
44.25773695,-76.55748117,Tim Hortons
44.23649814,-76.56745434,Tim Hortons
44.22370017,-76.49448335,Tim Hortons
44.257472,-76.483378,Tim Hortons
44.2560195,-76.57157421,Tim Hortons
44.23252608,-76.488921,Tim Hortons
44.23222794,-76.47905409,Tim Hortons
44.28355083,-76.65693178,Tim Hortons
44.27212928,-76.44685402,Tim Hortons
44.25964638,-76.58479214,Tim Hortons
44.22906683,-76.494695,Tim Hortons
44.238806,-76.454906,Tim Hortons
